               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.017403,            0.016904,                   0,             0.91612,             0.95135,             0.97806,             0.73736,           0.0098069,           0.0052377,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.016579,             0.01739,                   0,             0.91663,             0.95093,             0.96667,             0.71725,            0.010025,            0.005423,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.014871,            0.017713,                   0,             0.83879,             0.95627,             0.96285,             0.70412,           0.0096457,           0.0054993,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.014739,            0.016883,                   0,             0.85954,             0.96757,              0.9686,             0.73273,           0.0097347,           0.0052724,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.016375,            0.016868,                   0,             0.96214,             0.92973,              0.9788,             0.73411,           0.0097927,           0.0050926,                   0,             0.00406,             0.00406,             0.00406
                 122,             0.01988,            0.015721,                   0,             0.92512,             0.93491,             0.97308,             0.73477,           0.0094189,           0.0051192,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017505,            0.017294,                   0,             0.94706,             0.96697,             0.98895,             0.76825,           0.0097749,           0.0049107,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.016784,            0.016631,                   0,             0.95228,             0.97297,                0.99,             0.76567,            0.010016,           0.0048601,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.017066,            0.016686,                   0,             0.97129,             0.94595,             0.98601,             0.77091,           0.0098405,            0.004952,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.018642,            0.017219,                   0,             0.93468,             0.92817,             0.97791,             0.73898,           0.0095596,           0.0051766,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,             0.01726,            0.016071,                   0,             0.91956,             0.92973,             0.97076,             0.71845,             0.01029,           0.0053985,                   0,            0.003763,            0.003763,            0.003763
                 128,             0.01712,            0.016815,                   0,             0.94535,             0.93498,             0.97344,             0.73855,             0.01017,             0.00523,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.017661,            0.015935,                   0,             0.97701,             0.91878,             0.97847,             0.77328,           0.0096642,           0.0049028,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.015992,            0.016735,                   0,             0.94972,             0.91886,             0.97335,             0.75645,           0.0092587,           0.0049167,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.015712,            0.016394,                   0,             0.93212,             0.89189,             0.96755,             0.77158,           0.0092285,           0.0050728,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.014465,            0.016368,                   0,             0.94284,             0.89155,             0.96958,             0.76221,           0.0093534,           0.0048731,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.014392,            0.015776,                   0,             0.93547,             0.94039,             0.97908,             0.77349,           0.0093537,           0.0047216,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.017018,             0.01625,                   0,             0.98816,             0.90244,             0.98251,             0.77933,           0.0092174,           0.0046546,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.019622,            0.015717,                   0,             0.94086,             0.94593,             0.98267,             0.78627,           0.0090233,           0.0046537,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.013589,            0.015742,                   0,              0.9243,             0.92405,             0.97552,             0.76797,           0.0090254,             0.00483,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.018448,            0.016672,                   0,             0.95999,             0.90781,             0.97873,             0.77947,           0.0090342,           0.0048302,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.016721,             0.01534,                   0,             0.98276,             0.94054,             0.98723,             0.80002,           0.0091868,           0.0047698,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.017539,            0.015383,                   0,             0.96774,             0.97278,             0.99111,             0.80979,           0.0092146,           0.0047768,                   0,            0.003169,            0.003169,            0.003169
